# Bài 9
下午 | xiàwǔ | buổi chiều
上午 | shàngwǔ | buổi sáng
图书馆 | túshūguǎn | thư viện
换 | huàn | đổi
小姐 | xiǎojiě | cô, tiểu thư
先生 | xiānsheng | ông, ngài
女士 | nǚshì | cô, bà
美女 | měinǚ | người đẹp, cô gái xinh
帅哥 | shuàigē | anh chàng đẹp trai, soái ca
营业员 | yíngyèyuán | người bán hàng
人民 | rénmín | nhân dân
人民币 | rénmínbì | nhân dân tệ
美元 | měiyuán | dollar, đô la Mỹ
日元 | rìyuán | đồng Yên
欧元 | ōuyuán | đồng Euro
越南盾 | yuènán dùn | Việt Nam đồng
韩元 | hányuán | đồng Won
港币 | gǎngbì | đô la Hồng Kông
百 | bǎi | trăm
千 | qiān | nghìn
万 | wàn | vạn
等 | děng | đợi, chờ
一会儿 | yíhuìr | một lúc nữa
数 | shǔ | đếm
现在 | xiànzài | hiện tại, hiện nay, bây giờ
点 | diǎn | giờ
